date,total,domestic,overseas,death,서울,부산,대구,인천,광주,대전,울산
2020-01-20,1,0,1,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,1,0,1,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,1,0,1,0,0,0,0,0,0,0,0
2020-01-27,1,0,1,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,3,1,2,0,0,0,0,0,0,0,0
2020-01-31,4,3,1,0,0,0,0,0,0,0,0
2020-02-01,1,0,1,0,0,0,0,0,0,0,0
2020-02-02,3,1,2,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,1,0,1,0,0,0,0,0,0,0,0
2020-02-05,5,3,2,0,0,0,0,0,0,0,0
2020-02-06,3,1,2,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,3,1,2,0,0,0,0,0,0,0,0
2020-02-10,1,1,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,2,2,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,2,2,0,0,0,0,0,0,0,0,0
2020-02-19,34,34,0,0,0,0,0,0,0,0,0
2020-02-20,16,16,0,1,0,0,0,0,0,0,0
2020-02-21,74,74,0,0,0,0,0,0,0,0,0
2020-02-22,190,190,0,2,0,0,0,0,0,0,0
2020-02-23,210,209,1,0,0,0,0,0,0,0,0
2020-02-24,207,206,1,4,0,0,0,0,0,0,0
2020-02-25,130,129,1,1,0,0,0,0,0,0,0
2020-02-26,253,252,1,2,0,0,0,0,0,0,0
2020-02-27,449,447,2,1,0,0,0,0,0,0,0
2020-02-28,427,427,0,1,0,0,0,0,0,0,0
2020-02-29,909,909,0,3,0,0,0,0,0,0,0
2020-03-01,595,593,2,1,0,0,0,0,0,0,0
2020-03-02,686,684,2,6,0,0,0,0,0,0,0
2020-03-03,600,599,1,5,0,0,0,0,0,0,0
2020-03-04,516,516,0,4,0,0,0,0,0,0,0
